provider,schaal,tarief,rate_key,rate_value,source_file,source_week
flexspecialisten,D4,C,100,34.73,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,D4,C,133,43.83,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,D4,C,135,44.38,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,D4,C,180,31.83,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,D4,C,200,62.29,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,D4,C,300,89.85,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,F7,C,100,38.93,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,F7,C,133,49.29,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,F7,C,135,49.92,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,F7,C,180,36.25,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,F7,C,200,70.32,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,F7,C,300,101.71,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C6,C,100,34.65,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C6,C,133,43.72,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C6,C,135,44.27,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C6,C,180,31.74,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C6,C,200,62.13,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C6,C,300,89.6,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C8,C,100,35.43,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C8,C,133,44.73,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C8,C,135,45.29,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C8,C,180,32.56,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C8,C,200,63.61,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C8,C,300,91.8,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,B6,C,100,33.87,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,B6,C,133,42.7,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,B6,C,135,43.24,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,B6,C,180,30.92,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,B6,C,200,60.64,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,B6,C,300,87.41,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,F6,C,100,38.43,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,F6,C,133,48.64,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,F6,C,135,49.26,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,F6,C,180,35.73,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,F6,C,200,69.37,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,F6,C,300,100.3,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,NA,C,100,34.84,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,NA,C,133,43.96,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,NA,C,135,44.52,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,NA,C,180,32.41,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,NA,C,200,62.49,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,NA,C,300,90.14,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,E5,C,100,36.39,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,E5,C,133,45.99,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,E5,C,135,46.57,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,E5,C,180,33.58,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,E5,C,200,65.47,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,E5,C,300,94.54,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,B3,C,100,32.78,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,B3,C,133,41.29,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,B3,C,135,41.8,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,B3,C,180,29.77,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,B3,C,200,58.56,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,B3,C,300,84.33,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,D6,C,100,35.15,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,D6,C,133,44.37,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,D6,C,135,44.93,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,D6,C,180,32.26,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,D6,C,200,63.08,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,D6,C,300,91.02,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,F4,C,100,37.45,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,F4,C,133,47.36,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,F4,C,135,47.96,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,F4,C,180,34.69,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,F4,C,200,67.48,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,F4,C,300,97.52,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,D2,C,100,33.9,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,D2,C,133,42.75,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,D2,C,135,43.28,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,D2,C,180,30.95,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,D2,C,200,60.7,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,D2,C,300,87.5,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C3,C,100,33.46,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C3,C,133,42.16,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C3,C,135,42.69,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C3,C,180,30.48,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C3,C,200,59.85,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,C3,C,300,86.24,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,B2,C,100,32.42,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,B2,C,133,40.81,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,B2,C,135,41.32,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,B2,C,180,29.39,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,B2,C,200,57.86,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,B2,C,300,83.31,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,B4,C,100,33.14,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
flexspecialisten,B4,C,133,41.76,Lonen en tarieven 2026 vanaf 1 januari +0.75% 1 (1).xlsx,
